constraint 	-> 4 
rightful 	-> 1 3 5 
programmer 	-> 4 
reproduce 	-> 1 3 4 5 
consistently 	-> 4 
thermostimulation 	-> 2 3 
optimum 	-> 4 
zipper 	-> 1 3 5 
birthday 	-> 1 3 4 5 
young 	-> 1 3 4 5 
captain 	-> 4 
parish 	-> 4 
floor 	-> 1 3 4 5 
realise 	-> 1 3 5 
blameless 	-> 2 3 
mundane 	-> 1 3 5 
velocity 	-> 4 
reproduction 	-> 4 
separately 	-> 4 
watershed 	-> 4 
automated 	-> 4 
virtual 	-> 4 
casinos 	-> 4 
flat 	-> 1 3 4 5 
cats 	-> 1 3 4 5 
capable 	-> 1 3 4 5 
survival 	-> 4 
existence 	-> 1 3 4 5 
discovery 	-> 1 3 4 5 
spill 	-> 1 3 5 
snotty 	-> 1 3 5 
celtic 	-> 4 
cellar 	-> 1 3 5 
print 	-> 1 3 4 5 
phenomenon 	-> 4 
hamilton 	-> 4 
redundant 	-> 1 3 5 
Meleagrinae 	-> 2 3 
labs 	-> 4 
myasthenia 	-> 2 3 
erratic 	-> 1 3 5 
productivity 	-> 4 
numerous 	-> 1 3 4 5 
Jacobinism 	-> 2 3 
canal 	-> 4 
surrounded 	-> 4 
texas 	-> 4 
vary 	-> 4 
fall 	-> 1 3 4 5 
plant 	-> 1 3 4 5 
battle 	-> 1 3 4 5 
nostalgic 	-> 1 3 5 
solomon 	-> 4 
liberty 	-> 4 
embarrass 	-> 1 3 5 
compared 	-> 4 
discrete 	-> 4 
flaky 	-> 1 3 5 
scarf 	-> 1 3 5 
present 	-> 1 3 4 5 
critics 	-> 4 
poison 	-> 1 3 5 
lacking 	-> 1 3 5 
printers 	-> 4 
squandermaniaresink 	-> 2 
enthusiastic 	-> 1 3 5 
pastor 	-> 4 
zoom 	-> 1 3 4 5 
continually 	-> 4 
wheels 	-> 4 
grip 	-> 1 3 4 5 
advertisement 	-> 1 3 4 5 
lovely 	-> 1 3 4 5 
lampers 	-> 2 3 
amuck 	-> 1 2 3 5 
history 	-> 1 3 4 5 
anger 	-> 1 3 4 5 
bread 	-> 4 
recent 	-> 4 
are 	-> 4 
expect 	-> 1 3 4 5 
female 	-> 1 3 4 5 
type 	-> 1 3 4 5 
statuesque 	-> 1 3 5 
bridle 	-> 2 3 
yielding 	-> 1 3 5 
player 	-> 4 
fax 	-> 1 3 4 5 
jar 	-> 1 3 4 5 
optimal 	-> 1 3 4 5 
tiger 	-> 1 3 4 5 
absent 	-> 1 3 4 5 
complaints 	-> 4 
dealer 	-> 4 
examples 	-> 4 
reign 	-> 1 3 5 
maintains 	-> 4 
synesthesia 	-> 2 3 
reward 	-> 1 3 4 5 
middle 	-> 1 3 4 5 
system 	-> 1 3 4 5 
ancient 	-> 1 3 4 5 
Actaeon 	-> 2 3 
impossible 	-> 1 3 4 5 
Eumenes 	-> 2 3 
promised 	-> 4 
unable 	-> 1 3 4 5 
quack 	-> 1 3 5 
outstanding 	-> 1 3 4 5 
woebegone 	-> 1 3 5 
unkillable 	-> 2 3 
worriedness 	-> 2 3 
earthquake 	-> 1 3 4 5 
hero 	-> 4 
tomorrow 	-> 4 
rpm 	-> 4 
silklike 	-> 2 3 
hook 	-> 1 2 3 4 5 
coachwhip 	-> 2 3 
dance 	-> 1 3 4 5 
assured 	-> 4 
afraid 	-> 1 3 4 5 
brother 	-> 1 3 4 5 
side 	-> 1 3 4 5 
default 	-> 4 
grotesque 	-> 1 3 5 
change 	-> 1 3 4 5 
unadvised 	-> 1 3 5 
kijiji 	-> 4 
jump 	-> 1 3 4 5 
panicky 	-> 1 3 5 
pentapolis 	-> 2 3 
delicate 	-> 1 3 5 
themselves 	-> 4 
uneven 	-> 1 3 5 
triangle 	-> 4 
woman 	-> 1 3 4 5 
master 	-> 4 
spoon 	-> 1 3 5 
moments 	-> 4 
jurisdiction 	-> 4 
swedish 	-> 4 
usage 	-> 4 
Slavistic 	-> 2 3 
thriller 	-> 4 
supplier 	-> 4 
participant 	-> 4 
Austrophilism 	-> 2 3 
strangership 	-> 2 3 
unequal 	-> 1 3 5 
snary 	-> 2 3 
planes 	-> 1 3 4 5 
utopian 	-> 1 3 5 
contains 	-> 4 
aspiring 	-> 1 3 5 
rome 	-> 4 
regular 	-> 1 3 4 5 
citysearch 	-> 4 
tight 	-> 1 3 4 5 
suck 	-> 1 3 4 5 
drawer 	-> 1 3 5 
habitual 	-> 1 3 5 
pricing 	-> 4 
jesus 	-> 4 
deutsche 	-> 4 
ball 	-> 1 3 4 5 
guttural 	-> 1 2 3 5 
back 	-> 1 3 4 5 
light 	-> 1 3 4 5 
surfaces 	-> 4 
rim 	-> 4 
cabbage 	-> 1 3 5 
eatable 	-> 1 3 5 
overhead 	-> 4 
scrimshorn 	-> 2 3 
gang 	-> 4 
way 	-> 1 3 4 5 
force 	-> 1 2 3 4 5 
remain 	-> 1 3 4 5 
heaven 	-> 4 
db 	-> 4 
drew 	-> 4 
precede 	-> 1 3 5 
platform 	-> 4 
part 	-> 1 3 4 5 
bejel 	-> 2 3 
trade 	-> 1 3 4 5 
appreciate 	-> 1 3 4 5 
conceptional 	-> 2 3 
jeffrey 	-> 4 
arrangement 	-> 4 
define 	-> 4 
facilitate 	-> 4 
son 	-> 1 3 4 5 
screens 	-> 4 
wi 	-> 4 
shock 	-> 1 3 4 5 
fog 	-> 1 3 4 5 
sellers 	-> 4 
splendid 	-> 1 3 5 
pub 	-> 4 
pushed 	-> 4 
membrane 	-> 4 
excluding 	-> 4 
sterigmatic 	-> 2 3 
nonchalant 	-> 1 3 5 
whimsical 	-> 1 3 5 
portable 	-> 4 
stupendous 	-> 1 3 5 
real 	-> 1 3 4 5 
blocking 	-> 4 
grain 	-> 1 3 4 5 
bury 	-> 1 3 5 
moan 	-> 1 3 5 
limit 	-> 1 3 4 5 
greasy 	-> 1 3 5 
james 	-> 4 
representative 	-> 1 3 4 5 
move 	-> 1 3 4 5 
month 	-> 1 3 4 5 
pairs 	-> 4 
efforts 	-> 4 
achievements 	-> 4 
teeny-tiny 	-> 1 3 5 
normoblastic 	-> 2 3 
fact 	-> 1 3 4 5 
buying 	-> 4 
tend 	-> 4 
vp 	-> 4 
virucidal 	-> 2 3 
silly 	-> 1 3 4 5 
field 	-> 1 3 4 5 
rebate 	-> 4 
class 	-> 1 3 4 5 
revolutionary 	-> 4 
split 	-> 4 
tissue 	-> 4 
diligent 	-> 1 3 5 
brunei 	-> 4 
screw 	-> 1 3 4 5 
dolichocephali 	-> 2 3 
stew 	-> 1 3 5 
subtract 	-> 1 3 5 
smoking 	-> 4 
station 	-> 1 3 4 5 
man 	-> 1 3 4 5 
cushion 	-> 1 3 5 
peacemaking 	-> 2 3 
searched 	-> 4 
continental 	-> 4 
precious 	-> 1 3 4 5 
free 	-> 1 3 4 5 
newsletters 	-> 4 
natural 	-> 1 3 4 5 
animal 	-> 1 3 4 5 
setup 	-> 4 
high 	-> 1 3 4 5 
industry 	-> 1 3 4 5 
crabby 	-> 1 3 5 
attempt 	-> 1 3 4 5 
demanding 	-> 4 
lee 	-> 4 
wave 	-> 1 3 4 5 
ruddy 	-> 1 3 5 
wilderness 	-> 1 3 4 5 
tear 	-> 4 
abilities 	-> 4 
churches 	-> 4 
puts 	-> 4 
stocks 	-> 4 
telecommunications 	-> 4 
practices 	-> 4 
rural 	-> 1 3 4 5 
stud 	-> 4 
foregoing 	-> 1 3 5 
many 	-> 1 3 4 5 
much 	-> 4 
lawyer 	-> 4 
theory 	-> 1 3 4 5 
calculator 	-> 1 3 4 5 
four 	-> 1 3 4 5 
una 	-> 4 
savage 	-> 4 
eggs 	-> 1 3 4 5 
satisfaction 	-> 4 
reserves 	-> 4 
skate 	-> 1 3 5 
snow 	-> 1 3 4 5 
face 	-> 1 3 4 5 
envious 	-> 1 3 5 
mirrors 	-> 4 
cryptostome 	-> 2 3 
helpless 	-> 1 3 5 
symphony 	-> 4 
understand 	-> 4 
phrase 	-> 4 
principalness 	-> 2 3 
ban 	-> 1 3 4 5 
goatlike 	-> 2 3 
breasts 	-> 4 
subsequently 	-> 4 
bleach 	-> 1 3 5 
columns 	-> 4 
problems 	-> 4 
yukon 	-> 4 
diagnostic 	-> 4 
hudson 	-> 4 
ten 	-> 1 3 4 5 
hateful 	-> 1 2 3 5 
dare 	-> 1 3 4 5 
sides 	-> 4 
sometimes 	-> 4 
bare 	-> 1 3 4 5 
capersome 	-> 2 3 
aviation 	-> 4 
howard 	-> 4 
pressure 	-> 4 
rapid 	-> 1 3 4 5 
grapnel 	-> 2 3 
collected 	-> 4 
dig 	-> 4 
like 	-> 1 3 4 5 
successful 	-> 1 3 4 5 
serum 	-> 4 
panic 	-> 4 
tears 	-> 4 
conscious 	-> 1 3 4 5 
nail 	-> 1 3 4 5 
bee 	-> 1 3 4 5 
shakira 	-> 4 
sand 	-> 1 3 4 5 
humans 	-> 4 
featured 	-> 4 
referred 	-> 4 
philosophy 	-> 4 
brake 	-> 1 3 4 5 
saver 	-> 4 
electron 	-> 4 
slovakia 	-> 4 
big 	-> 1 3 4 5 
transformation 	-> 4 
rake 	-> 1 3 5 
applaud 	-> 1 3 5 
scattered 	-> 1 3 5 
um 	-> 4 
proven 	-> 4 
nonretentive 	-> 2 3 
elizabeth 	-> 4 
Odonata 	-> 2 3 
switch 	-> 1 3 4 5 
slimy 	-> 1 3 5 
ring 	-> 1 2 3 4 5 
picayune 	-> 1 3 5 
transport 	-> 1 3 4 5 
downtown 	-> 1 3 4 5 
Somal 	-> 2 3 
intention 	-> 4 
permissible 	-> 1 3 5 
scrub 	-> 1 3 5 
korean 	-> 4 
standing 	-> 1 3 4 5 
winner 	-> 4 
obsequious 	-> 1 3 5 
dead 	-> 1 3 4 5 
colony 	-> 4 
follow 	-> 1 3 4 5 
stereotyped 	-> 1 3 5 
pretty 	-> 1 3 4 5 
tenant 	-> 4 
spencer 	-> 4 
violent 	-> 1 3 4 5 
ragged 	-> 1 3 5 
fairfield 	-> 4 
tiresome 	-> 1 3 5 
guanaco 	-> 2 3 
stream 	-> 1 3 4 5 
inner 	-> 4 
insight 	-> 4 
death 	-> 1 3 4 5 
attach 	-> 1 3 4 5 
having 	-> 4 
inexpensive 	-> 1 3 4 5 
dazzling 	-> 1 3 5 
waterproof 	-> 4 
dark 	-> 1 3 4 5 
trusts 	-> 4 
sloppy 	-> 1 3 5 
notebook 	-> 1 3 4 5 
integration 	-> 4 
regarded 	-> 4 
quantities 	-> 4 
invention 	-> 1 3 4 5 
thong 	-> 4 
refined 	-> 4 
tide 	-> 4 
imminution 	-> 2 3 
economic 	-> 1 3 4 5 
paltry 	-> 1 3 5 
deferred 	-> 4 
unpack 	-> 1 3 5 
toothpaste 	-> 1 3 5 
politics 	-> 4 
nasdaq 	-> 4 
save 	-> 1 3 4 5 
painstaking 	-> 1 3 5 
photographs 	-> 4 
retreat 	-> 4 
quixotic 	-> 1 3 5 
ticket 	-> 1 3 4 5 
attending 	-> 4 
unkempt 	-> 1 3 5 
schistaceous 	-> 2 3 
court 	-> 4 
ear 	-> 1 3 4 5 
tigers 	-> 4 
craig 	-> 4 
sack 	-> 1 3 5 
campus 	-> 4 
sean 	-> 4 
fortunate 	-> 1 3 5 
judge 	-> 1 3 4 5 
simultaneously 	-> 4 
thoughtless 	-> 1 3 5 
recognition 	-> 4 
old-fashioned 	-> 1 3 5 
potentially 	-> 4 
hug 	-> 1 3 5 
pointed 	-> 4 
surrounding 	-> 4 
timothy 	-> 4 
bell 	-> 1 3 4 5 
whose 	-> 4 
deadline 	-> 4 
streets 	-> 4 
aberdeen 	-> 4 
send 	-> 4 
night 	-> 1 3 4 5 
hapless 	-> 1 3 5 
start 	-> 1 3 4 5 
bluetooth 	-> 4 
plicater 	-> 2 3 
dependent 	-> 1 3 4 5 
bedroom 	-> 1 3 4 5 
pleasant 	-> 1 3 4 5 
went 	-> 4 
codes 	-> 4 
repository 	-> 4 
alcoholic 	-> 1 3 5 
budget 	-> 4 
boost 	-> 4 
acid 	-> 1 3 4 5 
innate 	-> 1 3 5 
enough 	-> 4 
battlefield 	-> 4 
upper 	-> 4 
detailed 	-> 1 3 4 5 
babblishly 	-> 2 3 
Apinage 	-> 2 3 
conclusions 	-> 4 
hot 	-> 1 3 4 5 
drab 	-> 1 3 5 
tape 	-> 4 
spiritual 	-> 1 3 4 5 
respond 	-> 4 
admit 	-> 1 3 4 5 
fountain 	-> 4 
page 	-> 1 3 4 5 
syndicate 	-> 4 
chief 	-> 1 3 4 5 
sprout 	-> 1 3 5 
green 	-> 1 3 4 5 
saskatchewan 	-> 4 
apache 	-> 2 3 4 
postcard 	-> 4 
devil 	-> 4 
infrared 	-> 4 
cream 	-> 1 3 4 5 
ph 	-> 4 
cock 	-> 4 
swim 	-> 1 3 4 5 
rollick 	-> 2 3 
brush 	-> 1 3 4 5 
irritating 	-> 1 3 5 
victims 	-> 4 
catherine 	-> 4 
dredge 	-> 2 3 
compiled 	-> 4 
occurred 	-> 4 
cap 	-> 1 3 4 5 
modular 	-> 4 
score 	-> 4 
bearing 	-> 4 
oscheoplasty 	-> 2 3 
correct 	-> 1 3 4 5 
examine 	-> 1 3 4 5 
anymore 	-> 4 
rainstorm 	-> 1 3 5 
selfish 	-> 1 3 5 
community 	-> 4 
disputes 	-> 4 
shape 	-> 1 3 4 5 
gray 	-> 1 3 4 5 
downloadable 	-> 4 
writer 	-> 1 3 4 5 
strictly 	-> 4 
volume 	-> 4 
cos 	-> 4 
milky 	-> 1 3 5 
outferret 	-> 2 3 
february 	-> 4 
qualitied 	-> 2 3 
mayfish 	-> 2 3 
ks 	-> 4 
heavy 	-> 1 3 4 5 
meter 	-> 4 
call 	-> 1 3 4 5 
wellington 	-> 2 3 4 
fragile 	-> 1 3 5 
partner 	-> 1 3 4 5 
offbeat 	-> 1 3 5 
challenging 	-> 4 
cast 	-> 1 3 4 5 
systems 	-> 4 
grate 	-> 1 3 5 
pencil 	-> 1 3 4 5 
create 	-> 4 
tipstaff 	-> 2 3 
greenhouse 	-> 4 
bird 	-> 1 3 4 5 
close 	-> 1 3 4 5 
outweary 	-> 2 3 
majority 	-> 4 
wifi 	-> 4 
doc 	-> 4 
zany 	-> 1 3 5 
irs 	-> 4 
obey 	-> 1 3 5 
hammerdress 	-> 2 3 
incandescent 	-> 1 3 5 
steve 	-> 4 
nil 	-> 4 
previews 	-> 4 
energetic 	-> 1 3 5 
boring 	-> 1 3 4 5 
practise 	-> 1 3 5 
statutes 	-> 4 
garden 	-> 4 
drilling 	-> 4 
Apneumona 	-> 2 3 
assume 	-> 4 
nutritious 	-> 1 3 5 
hissing 	-> 1 3 5 
uploaded 	-> 4 
zesty 	-> 1 3 5 
clear 	-> 1 3 4 5 
pose 	-> 4 
unauthorized 	-> 4 
copying 	-> 4 
bedding 	-> 4 
reject 	-> 1 3 4 5 
tahoe 	-> 4 
wings 	-> 4 
counterruin 	-> 2 3 
hungry 	-> 1 3 4 5 
q 	-> 4 
reminiscent 	-> 1 3 5 
dramatic 	-> 1 3 4 5 
millennium 	-> 4 
tar 	-> 4 
reforms 	-> 4 
fraction 	-> 4 
reflections 	-> 4 
shade 	-> 1 3 4 5 
carol 	-> 4 
conjunction 	-> 4 
audit 	-> 4 
poster 	-> 4 
exultant 	-> 1 3 5 
flavor 	-> 1 3 4 5 
pharmacology 	-> 4 
bringing 	-> 4 
tame 	-> 1 3 5 
bushes 	-> 1 3 5 
crooked 	-> 1 3 5 
max 	-> 4 
client 	-> 4 
westminster 	-> 4 
unknown 	-> 1 3 4 5 
meeting 	-> 1 3 4 5 
projected 	-> 4 
pas 	-> 4 
choices 	-> 4 
pendant 	-> 4 
alexandria 	-> 4 
psp 	-> 4 
meddle 	-> 1 3 5 
concerned 	-> 1 3 4 5 
reed 	-> 4 
feeble 	-> 1 3 5 
minute 	-> 1 3 4 5 
mute 	-> 1 3 5 
chivalrous 	-> 1 3 5 
subdued 	-> 1 3 5 
principles 	-> 4 
tags 	-> 4 
publishers 	-> 4 
guide 	-> 1 3 4 5 
elite 	-> 1 3 4 5 
friend 	-> 1 3 4 5 
brad 	-> 4 
resonant 	-> 1 3 5 
great 	-> 1 3 4 5 
town 	-> 1 3 4 5 
discontinuee 	-> 2 3 
bbs 	-> 4 
basketball 	-> 1 3 4 5 
vigorous 	-> 1 3 5 
chips 	-> 4 
stage 	-> 1 3 4 5 
thankful 	-> 1 3 5 
desert 	-> 1 3 4 5 
other 	-> 4 
erect 	-> 1 3 5 
royalty 	-> 4 
pricey 	-> 1 3 5 
sticks 	-> 1 3 4 5 
bone 	-> 1 3 4 5 
wipe 	-> 1 3 5 
deceive 	-> 1 3 5 
sophisticated 	-> 1 3 4 5 
crate 	-> 1 3 5 
refresh 	-> 4 
gainful 	-> 1 3 5 
drip 	-> 1 3 5 
pilot 	-> 4 
polarography 	-> 2 3 
fasten 	-> 1 3 5 
deep 	-> 1 3 4 5 
dip 	-> 4 
tail 	-> 1 3 4 5 
covers 	-> 4 
florist 	-> 4 
fertile 	-> 1 3 5 
mysterious 	-> 1 3 4 5 
johnson 	-> 4 
special 	-> 1 3 4 5 
prevention 	-> 4 
stingy 	-> 1 3 5 
questions 	-> 4 
sun 	-> 1 3 4 5 
guys 	-> 4 
love 	-> 1 3 4 5 
receptive 	-> 1 3 5 
september 	-> 4 
mlb 	-> 4 
resistant 	-> 4 
logistics 	-> 4 
fit 	-> 1 3 4 5 
surfing 	-> 4 
agonizing 	-> 1 3 5 
techno 	-> 4 
medicines 	-> 4 
basename 	-> 4 
jetbead 	-> 2 3 
adaptable 	-> 1 3 5 
curly 	-> 1 3 5 
lithuania 	-> 4 
acting 	-> 4 
slackerism 	-> 2 3 
found 	-> 1 3 4 5 
adjusted 	-> 4 
scripting 	-> 4 
eater 	-> 2 3 
subtriplicated 	-> 2 3 
trips 	-> 4 
swiss 	-> 4 
gardening 	-> 4 
excellent 	-> 1 3 4 5 
punishment 	-> 1 3 4 5 
primitivism 	-> 2 3 
asking 	-> 4 
add 	-> 1 3 4 5 
communications 	-> 4 
long 	-> 1 3 4 5 
adenology 	-> 2 3 
reseller 	-> 4 
trust 	-> 1 3 4 5 
isle 	-> 4 
re 	-> 4 
hypersophisticated 	-> 2 3 
roses 	-> 4 
flood 	-> 1 3 4 5 
setting 	-> 4 
cumbersome 	-> 1 3 5 
voiceless 	-> 1 3 5 
sewing 	-> 4 
petite 	-> 1 3 4 5 
alliance 	-> 4 
grateful 	-> 1 3 4 5 
payroll 	-> 4 
soak 	-> 1 3 5 
myelosyphilis 	-> 2 3 
respective 	-> 4 
compilation 	-> 4 
subscriber 	-> 4 
microgametocyte 	-> 2 3 
bite 	-> 1 3 4 5 
casave 	-> 2 3 
selective 	-> 1 3 4 5 
thin 	-> 1 3 4 5 
sur 	-> 4 
knot 	-> 1 3 5 
lingenberry 	-> 2 3 
treat 	-> 1 3 4 5 
verizon 	-> 4 
ugly 	-> 1 3 4 5 
experience 	-> 1 3 4 5 
wild 	-> 1 3 4 5 
destination 	-> 4 
timely 	-> 4 
ectomorphy 	-> 2 3 
traveling 	-> 4 
koolah 	-> 2 3 
herself 	-> 4 
figured 	-> 4 
needless 	-> 1 3 5 
cooler 	-> 4 
truly 	-> 4 
burn 	-> 1 3 4 5 
hometown 	-> 4 
editions 	-> 4 
handed 	-> 4 
outside 	-> 4 
regulations 	-> 4 
bless 	-> 1 3 4 5 
desire 	-> 1 3 4 5 
img 	-> 4 
bio 	-> 4 
power 	-> 1 3 4 5 
committeewoman 	-> 2 3 
cups 	-> 4 
moral 	-> 4 
vertex 	-> 4 
platybrachycephalous 	-> 2 3 
lovers 	-> 4 
controversy 	-> 4 
naples 	-> 4 
hexahydroxy 	-> 2 3 
Octogynia 	-> 2 3 
weary 	-> 1 3 5 
deutschland 	-> 4 
titled 	-> 4 
question 	-> 1 3 4 5 
reply 	-> 1 3 4 5 
canvas 	-> 1 3 4 5 
possibly 	-> 4 
paper 	-> 1 3 4 5 
plates 	-> 4 
eleven 	-> 4 
control 	-> 1 3 4 5 
overview 	-> 4 
jelsoft 	-> 4 
periodic 	-> 1 3 4 5 
incidents 	-> 4 
calm 	-> 1 3 4 5 
tonight 	-> 4 
studio 	-> 4 
done 	-> 4 
vein 	-> 1 3 5 
sedate 	-> 1 3 5 
chunky 	-> 1 3 5 
oak 	-> 4 
magical 	-> 1 3 4 5 
cloistered 	-> 1 3 5 
boiling 	-> 1 3 5 
beaches 	-> 4 
psychedelic 	-> 1 3 5 
jellyfish 	-> 1 3 5 
cardiac 	-> 4 
arrange 	-> 1 3 4 5 
insulance 	-> 2 3 
tied 	-> 4 
walt 	-> 4 
Suomic 	-> 2 3 
shoe 	-> 1 3 4 5 
sweet 	-> 1 3 4 5 
minor 	-> 1 3 4 5 
placement 	-> 4 
nonsparking 	-> 2 3 
oecd 	-> 4 
norman 	-> 4 
berkeley 	-> 4 
purchases 	-> 4 
order 	-> 1 3 4 5 
manumission 	-> 2 3 
tripadvisor 	-> 4 
raspy 	-> 1 3 5 
meek 	-> 1 3 5 
disclosure 	-> 4 
mix 	-> 1 3 4 5 
vacations 	-> 4 
powered 	-> 4 
paraguay 	-> 4 
worm 	-> 1 3 4 5 
manage 	-> 1 3 4 5 
singles 	-> 4 
motionless 	-> 1 3 5 
hunt 	-> 1 3 4 5 
tile 	-> 4 
views 	-> 4 
pillow 	-> 4 
quill 	-> 1 3 5 
supposed 	-> 4 
questionnaire 	-> 4 
methods 	-> 4 
step 	-> 1 3 4 5 
drink 	-> 1 3 4 5 
bars 	-> 4 
broad 	-> 1 3 4 5 
roughly 	-> 4 
humanitarian 	-> 4 
blogger 	-> 4 
sox 	-> 4 
apologizer 	-> 2 3 
radiation 	-> 4 
violet 	-> 1 3 5 
entrepreneur 	-> 4 
large 	-> 1 3 4 5 
yoke 	-> 1 3 5 
unelementary 	-> 2 3 
roger 	-> 4 
wonderful 	-> 1 3 4 5 
promote 	-> 4 
dame 	-> 4 
strand 	-> 4 
weeze 	-> 2 3 
anonymous 	-> 4 
wreck 	-> 1 3 5 
confused 	-> 1 3 4 5 
cloudy 	-> 1 3 4 5 
late 	-> 1 3 4 5 
noisy 	-> 1 3 5 
bm 	-> 4 
robots 	-> 4 
example 	-> 1 3 4 5 
coach 	-> 1 3 4 5 
bacteria 	-> 4 
pat 	-> 1 3 4 5 
sock 	-> 1 3 5 
replace 	-> 1 3 4 5 
behavior 	-> 1 3 4 5 
shannon 	-> 4 
happen 	-> 1 3 4 5 
acdbentity 	-> 4 
public 	-> 1 3 4 5 
personality 	-> 4 
accent 	-> 4 
subsequent 	-> 1 3 4 5 
solid 	-> 1 3 4 5 
acoustic 	-> 1 3 4 5 
sc 	-> 4 
bbw 	-> 4 
armor 	-> 4 
decay 	-> 1 3 5 
kelly 	-> 4 
synonymous 	-> 1 3 5 
clean 	-> 1 3 4 5 
shaft 	-> 4 
tawdry 	-> 1 3 5 
sources 	-> 4 
pepper 	-> 4 
graham 	-> 4 
pad 	-> 4 
entitled 	-> 4 
postings 	-> 4 
predicted 	-> 4 
probably 	-> 4 
invoice 	-> 4 
agricultural 	-> 2 3 4 
spaying 	-> 2 3 
worried 	-> 1 3 4 5 
discussion 	-> 1 3 4 5 
past 	-> 1 3 4 5 
dizzy 	-> 1 3 5 
punch 	-> 1 3 4 5 
thunder 	-> 1 3 4 5 
describe 	-> 1 3 4 5 
spotlight 	-> 4 
nauseating 	-> 1 3 5 
soundtrack 	-> 4 
physician 	-> 4 
treacliness 	-> 2 3 
pac 	-> 4 
things 	-> 1 3 4 5 
doubtful 	-> 1 3 5 
louise 	-> 4 
bath 	-> 1 3 4 5 
smoggy 	-> 1 3 5 
rod 	-> 1 3 4 5 
angiolith 	-> 2 3 
eos 	-> 4 
frontpage 	-> 4 
gem 	-> 4 
wars 	-> 4 
cheat 	-> 1 3 4 5 
trashy 	-> 1 3 5 
reflection 	-> 4 
sprint 	-> 4 
dinner 	-> 1 3 4 5 
dad 	-> 1 3 4 5 
rh 	-> 4 
dihydroxy 	-> 2 3 
urgent 	-> 4 
swanky 	-> 1 3 5 
spotless 	-> 1 3 5 
foundery 	-> 2 3 
came 	-> 4 
portland 	-> 4 
apagogically 	-> 2 3 
states 	-> 4 
metal 	-> 1 3 4 5 
hl 	-> 4 
royal 	-> 1 3 4 5 
requires 	-> 4 
countries 	-> 4 
thundering 	-> 1 3 5 
air 	-> 1 3 4 5 
fares 	-> 4 
peeing 	-> 4 
stephanie 	-> 4 
gorgeous 	-> 1 3 4 5 
revision 	-> 4 
touched 	-> 4 
tee 	-> 4 
muddled 	-> 1 3 5 
readings 	-> 4 
architecture 	-> 4 
treasure 	-> 4 
curvy 	-> 1 3 5 
attractions 	-> 4 
jul 	-> 4 
ratios 	-> 4 
sustainable 	-> 4 
kid 	-> 4 
incentive 	-> 4 
education 	-> 1 3 4 5 
hobby 	-> 4 
messages 	-> 4 
sphere 	-> 4 
dream 	-> 1 3 4 5 
greatest 	-> 4 
warlike 	-> 1 3 5 
macro 	-> 4 
vernon 	-> 4 
doltishness 	-> 2 3 
homely 	-> 1 3 5 
philophilosophos 	-> 2 3 
adopt 	-> 4 
hygrodeik 	-> 2 3 
forums 	-> 4 
spiky 	-> 1 3 5 
ocean 	-> 1 3 4 5 
license 	-> 1 3 4 5 
suse 	-> 4 
wanting 	-> 1 3 4 5 
lazaret 	-> 2 3 
show 	-> 1 3 4 5 
adaptation 	-> 4 
absorbed 	-> 1 3 5 
refer 	-> 4 
pa 	-> 4 
whom 	-> 4 
point 	-> 1 3 4 5 
thick 	-> 1 3 4 5 
loaferish 	-> 2 3 
relations 	-> 4 
marriott 	-> 4 
holistic 	-> 1 3 5 
silicon 	-> 4 
crib 	-> 1 3 5 
war 	-> 1 3 4 5 
hospital 	-> 1 3 4 5 
box 	-> 1 3 4 5 
antu 	-> 2 3 
rooms 	-> 4 
deadpan 	-> 1 3 5 
cross 	-> 1 3 4 5 
merciful 	-> 1 3 5 
include 	-> 1 3 4 5 
governor 	-> 1 3 4 5 
industries 	-> 4 
unnatural 	-> 1 3 5 
join 	-> 1 3 4 5 
watt 	-> 4 
deprivative 	-> 2 3 
ethereal 	-> 1 3 5 
drawings 	-> 4 
Cossaean 	-> 2 3 
absurd 	-> 1 3 5 
modules 	-> 4 
number 	-> 1 3 4 5 
goods 	-> 4 
fuzzy 	-> 1 3 4 5 
anyway 	-> 4 
relieved 	-> 1 3 5 
formerly 	-> 4 
extrafoliaceous 	-> 2 3 
toolbox 	-> 4 
asus 	-> 4 
communicate 	-> 1 3 4 5 
space 	-> 1 3 4 5 
warner 	-> 4 
vegetable 	-> 1 3 4 5 
continue 	-> 1 3 4 5 
ants 	-> 1 3 5 
geminately 	-> 2 3 
endosalpingitis 	-> 2 3 
dolls 	-> 1 3 4 5 
variation 	-> 4 
perform 	-> 1 3 4 5 
doubt 	-> 1 3 4 5 
curved 	-> 1 3 5 
zones 	-> 4 
excluded 	-> 4 
spinobulbar 	-> 2 3 
sink 	-> 1 3 4 5 
spiffy 	-> 1 3 5 
aggrate 	-> 2 3 
message 	-> 4 
fresh 	-> 1 3 4 5 
theology 	-> 4 
tan 	-> 1 3 4 5 
break 	-> 4 
vibraculoid 	-> 2 3 
yu 	-> 4 
esophagotomy 	-> 2 3 
psychotic 	-> 1 3 5 
url 	-> 4 
chop 	-> 1 3 5 
saturator 	-> 2 3 
horrible 	-> 1 3 4 5 
gis 	-> 4 
citronade 	-> 2 3 
jealous 	-> 1 3 5 
responsible 	-> 1 3 4 5 
proscriber 	-> 2 3 
set 	-> 4 
seeker 	-> 4 
lid 	-> 4 
abstracts 	-> 4 
environmental 	-> 2 3 4 
loss 	-> 1 3 4 5 
scrape 	-> 1 3 5 
